Latitude,Longitude,Magnitude,Year,Month,Day,Hour,Minute,BigEarthquake
11.5109999999999,121.389,6.1,1973,8,18,8,25,1
-32.7909999999999,-179.208,6.0,1973,8,22,6,39,1
18.2669999999999,-96.5979999999999,6.8,1973,8,28,9,50,1
-0.189,-18.027,6.8,1973,8,28,15,1,1
42.453,130.907,6.0,1973,9,10,7,43,1
73.302,55.161,6.8,1973,9,12,6,59,1
-54.518,-132.624,6.4,1973,9,18,13,32,1
9.048,123.789,6.0,1973,9,20,20,43,1
-4.387,-102.003,6.1,1973,9,21,7,13,1
-4.364,-101.938999999999,6.0,1973,9,21,7,31,1
-54.848999999999904,145.848999999999,6.3,1973,9,25,16,17,1
41.890999999999906,130.872,6.5,1973,9,29,0,44,1
-32.987,-71.9159999999999,6.5,1973,10,5,5,45,1
-32.518,-71.47799999999991,6.7,1973,10,5,5,47,1
-60.823,-21.5489999999999,7.0,1973,10,6,15,7,1
-14.233,167.228,6.4,1973,10,9,7,57,1
0.636,-29.5139999999999,6.3,1973,10,11,2,7,1
19.379,-104.974999999999,6.0,1973,10,18,10,49,1
-21.9849999999999,-63.655999999999906,6.1,1973,10,25,14,8,1
51.619,-175.404,6.4,1973,11,6,9,36,1
51.579,-175.247,6.3,1973,11,6,18,26,1
50.052,156.309,6.1,1973,11,8,8,59,1
49.975,156.355999999999,6.0,1973,11,11,2,43,1
38.911,141.91,6.1,1973,11,19,13,1,1
-15.198,167.390999999999,6.0,1973,11,30,8,9,1
-19.9119999999999,169.751,6.8,1973,12,9,19,55,1
-19.7719999999999,169.883999999999,6.3,1973,12,9,20,57,1
-9.436,119.452,6.0,1973,12,19,4,43,1
-23.8709999999999,179.96,6.4,1973,12,28,5,31,1
-14.464,166.601,7.5,1973,12,28,13,41,1
-15.117,166.895999999999,7.2,1973,12,29,0,19,1
54.64,168.735,6.0,1973,12,29,8,20,1
-15.317,-173.084,6.2,1973,12,30,16,21,1
-15.506,166.639,6.6,1973,12,30,16,39,1
-22.538,-68.397,6.4,1974,1,2,10,42,1
-12.2989999999999,-76.352,6.3,1974,1,5,8,33,1
-38.954,46.18,6.1,1974,1,8,21,47,1
-14.4339999999999,166.863,7.2,1974,1,10,8,51,1
-14.159,166.589,6.2,1974,1,11,5,36,1
42.125999999999905,143.913,6.1,1974,1,24,19,12,1
18.596,-103.401,6.1,1974,1,26,5,35,1
-5.157,134.074,6.3,1974,1,30,9,53,1
-7.461,155.894,7.0,1974,1,31,23,30,1
-7.383,155.574999999999,7.1,1974,2,1,3,12,1
53.79899999999991,-164.672,6.5,1974,2,6,4,4,1
11.43,92.346,6.0,1974,2,16,1,51,1
11.446,92.3569999999999,6.1,1974,2,16,1,53,1
13.909,122.116,6.1,1974,2,19,3,30,1
33.151,136.906,6.0,1974,2,22,0,36,1
-36.813,176.851,6.2,1974,2,28,13,59,1
9.336,-84.06399999999991,6.2,1974,2,28,20,20,1
-20.062,169.711999999999,6.1,1974,3,3,14,22,1
-6.604,128.978,6.3,1974,3,6,19,29,1
-7.484,156.179,6.5,1974,3,9,20,14,1
-7.335,156.193,6.6,1974,3,9,20,18,1
-14.929,-172.833,6.0,1974,3,18,10,56,1
-23.931,179.779,6.1,1974,3,23,14,28,1
-21.931,173.706999999999,6.1,1974,3,23,20,25,1
55.119999999999905,-160.443,6.0,1974,4,6,3,56,1
-26.2459999999999,-175.912,6.1,1974,4,27,7,24,1
-16.693,-177.342,6.0,1974,5,7,2,25,1
34.5219999999999,138.74,6.5,1974,5,8,23,33,1
-4.372,-102.108999999999,6.1,1974,5,10,8,12,1
28.2429999999999,104.015,6.8,1974,5,10,19,25,1
1.744,126.381,6.0,1974,5,11,0,43,1
19.7399999999999,147.274,6.4,1974,5,11,6,14,1
50.049999999999905,156.113,6.1,1974,5,15,18,59,1
-11.173,-75.0769999999999,6.0,1974,5,17,15,22,1
-6.513,106.837,6.0,1974,5,17,20,55,1
